,cycle,capacity,SoH,resistance,CCCT,CVCT
0,1.0,1.1269639224083812,0.8342394088942104,0.1024978831410408,6585.419023649712,2359.1687300684016
1,2.0,1.1266423673534605,0.8342197865606116,0.10403060168027878,6572.075291247802,2361.9182494717597
2,3.0,1.1260185527087898,0.8342092399995156,0.10465392470359802,6566.714959612033,2362.6059595769457
3,4.0,1.1243545902001695,0.8341982048619445,0.10403060168027878,6560.136514186897,2381.011932640198
4,5.0,1.1234087067005933,0.8341887029445673,0.10159238427877426,6612.742838308164,2194.316026562352
5,6.0,1.115180092816477,0.8067114251547163,0.10150053352117538,6611.684564955358,2146.8801873955017
6,7.0,1.100052687941082,0.8158757385904853,0.10484334081411362,6496.577198405263,2283.9507031212343
7,8.0,1.098242347981245,0.8158849747617031,0.10393654555082321,6439.623195921762,2271.8103332640603
8,9.0,1.0966422128897266,0.8158742028536918,0.10293839871883392,6415.092145070012,2258.9823141232773
9,10.0,1.08975310223443,0.8067141797598356,0.10393654555082321,6394.998809715762,2249.9354017590085
10,11.0,1.0979544675033721,0.8158787785387198,0.1024051234126091,6397.405589707065,2182.4548658502754
11,12.0,1.0991567115608851,0.8158684165408736,0.10222011059522629,6468.400697209552,2111.082761991798
12,13.0,1.1031436292730643,0.8067122815428374,0.1000574603676796,6490.0758716536075,2088.2869366609957
13,14.0,1.1028658054722367,0.8066942213364285,0.1000574603676796,6496.797142578813,2066.1785798431956
14,15.0,1.0988006635689032,0.8066946908978005,0.09996690601110458,6499.673933211248,2050.335799314431
15,16.0,1.0986060109607774,0.8066952527453366,0.09969624131917953,6500.504849791032,2034.6637906216201
16,17.0,1.098172780811427,0.8066622321898653,0.09906452149152756,6503.756362972374,2018.775187909836
17,18.0,1.0978666825936942,0.8066952536911886,0.09843050688505173,6502.898960797378,2006.8220373658405
18,19.0,1.0973708976492913,0.8066827907407399,0.0983414277434349,6501.4611165219685,2001.3221603199781
19,20.0,1.09691628692272,0.8066804294561827,0.09752868860960007,6497.805527348974,1994.7601060867019
20,21.0,1.0965183915789969,0.7975047758341904,0.0983414277434349,6495.134921768098,1986.1354484862532
21,22.0,1.096165026768173,0.7883484486851337,0.09969624131917953,6492.1200835436175,1983.5883089608105
22,23.0,1.095845957864241,0.7883430237122893,0.09662850946187973,6491.778134571534,1973.9334388437564
23,24.0,1.0955221391242471,0.7883546418231908,0.09825251251459122,6489.763763308525,1964.027271697123
24,25.0,1.0950995552219207,0.788339686229032,0.09607710689306259,6487.263477141154,1962.2302604020806
25,26.0,1.0947547221663,0.7883459502090523,0.09888570010662079,6482.388735109067,1961.589870723954
26,27.0,1.0786648567107073,0.7975252979183343,0.09924398362636566,6437.870341243572,2054.253773185832
27,28.0,1.0714319070035057,0.7883573741200018,0.09996690601110458,6324.785156537779,2122.000545357296
28,29.0,1.0698302667370543,0.7975288740462014,0.10087093710899353,6288.596350372827,2135.5309623095673
29,30.0,1.0686247035705598,0.7883555960037165,0.1000574603676796,6263.907610661874,2148.3432387495995
30,31.0,1.0673164664600707,0.7883523485276178,0.10303138196468353,6238.6257849182,2168.076836817898
31,32.0,1.077831762607149,0.7883830164187031,0.09843050688505173,6279.071054484637,2044.9583884870517
32,33.0,1.0789995229017195,0.788365547296388,0.09906452149152756,6363.015693659603,2010.6788765207748
33,34.0,1.0676620830966856,0.7791953667931742,0.10077964514493942,6339.001178032602,2090.4856030842056
34,35.0,1.0600508718417678,0.7792014893164478,0.10068852454423904,6232.626736649021,2146.264688913885
35,36.0,1.059969398576011,0.788353977753721,0.10312453657388687,6190.798475572141,2155.717553405848
36,37.0,1.0592215927072286,0.7791909584871475,0.10212785750627518,6194.141292705957,2153.514410275151
37,38.0,1.0589340100998772,0.7791775146855702,0.10303138196468353,6171.734681827482,2181.060684005148
38,39.0,1.06896977617528,0.7791673325727706,0.10140883922576904,6224.445292823599,2052.738896431867
39,40.0,1.0701096219429687,0.7883477901153088,0.09996690601110458,6300.920412081701,2024.0058090421371
40,41.0,1.058865050235124,0.7791771068881581,0.10140883922576904,6279.718524895143,2099.0319200608064
41,42.0,1.052498293070255,0.7791939971727568,0.10222011059522629,6167.86017726484,2168.7178907115012
42,43.0,1.0523217446554995,0.7883403824307206,0.10718455910682678,6132.454342069395,2204.5917187290615
43,44.0,1.0523710173691447,0.7883356445693679,0.10728155821561813,6122.251938039495,2225.2632703009876
44,45.0,1.0506023642407885,0.7883298160019521,0.10474854707717896,6136.360467896913,2202.7161521951202
45,46.0,1.0609424841653832,0.7883464242503603,0.10637255758047104,6144.833524090005,2129.2057638036786
46,47.0,1.0661825778054341,0.7975098756817649,0.10728155821561813,6212.044519801624,2128.2895444229944
47,48.0,1.0522889437986547,0.7975261693893557,0.11509647220373154,6205.344987460761,2185.500105183688
48,49.0,1.0504990526028102,0.7975274245470635,0.1170344278216362,6073.549734242144,2344.589532456943
49,50.0,1.049905803633351,0.7975093725789636,0.12250187993049622,6032.034412371111,2398.6670360101853
50,51.0,1.0497819511825657,0.7975136725723929,0.12608866393566132,5981.378092605853,2467.5096997856162
51,52.0,1.0497599119156593,0.8067833322557594,0.1316637247800827,5954.252968811197,2535.398525588331
52,53.0,1.0902939110747052,0.8067189409592298,0.1153046041727066,6043.285912932617,2378.6205714322614
53,54.0,1.0908911533815202,0.8433824834723418,0.135036900639534,6205.530509498676,2649.881314223141
54,55.0,1.0962904248382146,0.8433806527826953,0.1381656378507614,6262.055446784678,2529.8570449335275
55,56.0,1.0968847688793222,0.8525312105685869,0.14697277545928955,6259.669964203087,2539.2496620704696
56,57.0,1.0878293529286465,0.8433917080596042,0.15198220312595367,6179.649234482866,2693.476228919375
57,58.0,1.0807362439818944,0.843351473369917,0.14602872729301453,6099.563899887406,2752.6301807686104
58,59.0,1.0805099107076006,0.8525182008019576,0.15604589879512787,6123.439138342874,2671.4910567256156
59,60.0,1.078512263829186,0.8433506505118742,0.15414144098758698,6072.50254566611,2739.2867671562126
60,61.0,1.078537709322427,0.8616843369045638,0.1651354730129242,5976.343201813739,2885.3767410268338
61,62.0,1.0781053066077537,0.8616845741362724,0.17133289575576782,6004.053058061647,2840.115021119156
62,63.0,1.0709796387194535,0.8433631307620211,0.1654992252588272,5984.521718428616,2846.317624555406
63,64.0,1.0633453924262257,0.8433407550008206,0.16808487474918365,5931.906125611946,2905.17252053041
64,65.0,1.062939994228154,0.843374353821214,0.17361192405223846,5882.7034018751,2938.81271526654
65,66.0,1.0609872858387364,0.8707920735642565,0.17117811739444733,5886.640963039012,2908.8445399376214
66,67.0,1.052339335011166,0.8066415538935168,0.1323566883802414,5864.063538374874,2794.06502993693
67,68.0,1.0604151938680992,0.8432803120933869,0.16254781186580658,5817.34864315216,3004.158777515113
68,69.0,1.0593285921042053,0.8524566073745651,0.17620491981506348,5823.61516204034,2956.5804564245045
69,70.0,1.0514236496859988,0.8432916159126631,0.174580916762352,5772.815468423214,3008.3738825036853
70,71.0,1.0513113452630227,0.8432826906537199,0.1789645552635193,5736.877703841077,2976.14007035573
71,72.0,1.0510668509751264,0.8341198597731885,0.17392615973949432,5766.7837041357125,2945.9063265535224
72,73.0,1.0446965399430175,0.82495359602377,0.17311342060565948,5765.346361761214,2930.937830154784
73,74.0,1.0521032836569533,0.8432784548571715,0.163212850689888,5733.064985348494,2941.406975756923
74,75.0,1.0521291543667268,0.8341294538290659,0.16534985601902008,5815.552520135941,2834.09774915094
75,76.0,1.0515294204557981,0.8249575187284981,0.16010959446430206,5810.553140784323,2820.441954639158
76,77.0,1.0510602131897633,0.8341354591029664,0.16468794643878937,5797.709260793461,2854.0973832729505
77,78.0,1.0505914697711651,0.8341414690429405,0.16336055099964142,5804.6625021453365,2819.7384246510337
78,79.0,1.0506695617985216,0.8249618152556975,0.16225413978099823,5801.912222607469,2816.9420822553802
79,80.0,1.0502208455265467,0.8341235314016879,0.16564886271953583,5807.522749005642,2819.192491612979
80,81.0,1.0449334944049598,0.8249428428049044,0.16077683866024017,5791.6469902649405,2818.207557348651
81,82.0,1.0446810545156464,0.8249618183609102,0.16350853443145752,5780.06888806168,2825.363597617892
82,83.0,1.0442416166280586,0.8249497041969838,0.16823698580265045,5754.303576111677,2859.456986082252
83,84.0,1.0436840983635811,0.8341186081354092,0.17005960643291473,5754.397314426431,2853.3787373460364
84,85.0,1.0432215238031748,0.8432755772680839,0.16823698580265045,5765.427816431329,2829.9884042691556
85,86.0,0.8866047086593583,0.7791383461497944,0.15848411619663239,5756.053300448053,0.0
86,87.0,1.0429302761723394,0.8341250829420463,0.1687443107366562,5796.396915650577,2836.598181081761
87,88.0,1.0421032446189264,0.8341264120657795,0.16920284926891327,5751.741265339719,2828.5353181012324
88,89.0,1.0416267678633784,0.834138466151048,0.1748971790075302,5741.475375678914,2849.92568260635
89,90.0,1.0412821668473649,0.8341324194525713,0.17183417081832886,5732.115821815969,2864.1751641989104
90,91.0,1.0259243858614675,0.815804274795716,0.17701692879199982,5671.23755361978,2987.623794860672
91,92.0,1.0252117770002442,0.8249668815813693,0.1796153336763382,5582.753139654233,3032.3570347033674
92,93.0,1.0245988854950596,0.8158162667389564,0.17945294082164764,5577.722053855483,3036.7475979478913
93,94.0,1.0410332030989748,0.8524803369127936,0.17198939621448517,0.0,1909.0863676442348
94,95.0,1.0349103319584005,0.7974949745503915,0.13398070633411407,5794.210824254389,2666.796024949588
95,96.0,1.0354994103127855,0.8066566772984611,0.1518447995185852,5739.384127930487,2764.5761102355464
96,97.0,1.0445391199961294,0.8433276379589342,0.16970889270305634,5724.182900142285,2797.8600908818553
97,98.0,1.0449149809408107,0.8433277527601388,0.17376890778541565,5774.094949601502,2783.486289371933
98,99.0,1.0409027419608827,0.8249873941398266,0.1729568988084793,5774.534578969047,2774.6264439898077
99,100.0,1.0349290101471202,0.8341501683072013,0.1833471804857254,5678.791736554718,2922.3869707319536
100,101.0,1.034353803303257,0.8433038615437569,0.18449176847934723,5675.27568850285,2901.9813729455345
101,102.0,1.033638253030655,0.815810725296843,0.16077683866024017,5690.418239339342,2881.7281706467475
102,103.0,1.0324899626128972,0.8341244455295602,0.174580916762352,5639.620234088157,2955.9955591943
103,104.0,1.0415504022157251,0.8341271881298077,0.17523446679115295,5671.793179173779,2831.703649295363
104,105.0,1.0419327991609166,0.8341287970349482,0.16402485966682434,5763.768270967921,2748.018678533699
105,106.0,1.0329449492721001,0.8157972745893808,0.16646087169647217,5773.504434414761,2699.5335564597917
106,107.0,1.0266290759510772,0.8158077625457225,0.17311342060565948,5657.010603946779,2885.3714117720665
